"tipo_cultivo","tipo_suelo","metodo_riego","fertilizacion_utilizada","nivel_tecnificacion","volumen_agua","rendimiento_cultivo","eficiencia_agua","densidad_siembra"
"melón","arcilloso","goteo","mixta","medio",5522,9970,1.8055,4595
"plátano verde","arenoso","gravedad","mixta","medio",7413,18177,2.452,3847
"cacao","arenoso","aspersión","mixta","medio",7169,1468,0.2048,3826
"banano","franco-arcilloso","gravedad","orgánica","bajo",6606,20619,3.1213,3505
"plátano verde","franco","goteo","orgánica","medio",6756,24568,3.6365,3937
"cacao","arenoso","aspersión","química","medio",6314,1448,0.2293,4383
"plátano verde","arenoso","aspersión","química","medio",5680,21948,3.8641,3006
"arroz","franco-arcilloso","goteo","química","bajo",8880,6907,0.7778,3612
"cacao","franco-arcilloso","aspersión","mixta","medio",7133,1599,0.2242,4793
"maíz","franco-arcilloso","goteo","mixta","alto",7551,9469,1.254,3873
"banano","franco","gravedad","mixta","medio",5432,25950,4.7772,2456
"maíz","arenoso","goteo","química","medio",6796,8418,1.2387,3067
"maíz","franco-arcilloso","goteo","mixta","medio",8797,8548,0.9717,3555
"arroz","franco","goteo","orgánica","medio",6033,7531,1.2483,2589
"arroz","franco-arcilloso","gravedad","orgánica","bajo",6806,6782,0.9965,3701
"cacao","franco","gravedad","mixta","bajo",8939,1272,0.1423,3569
"sandía","franco","goteo","química","bajo",8176,10683,1.3066,5060
"plátano verde","arcilloso","aspersión","orgánica","medio",5581,21841,3.9135,1383
"plátano verde","arenoso","aspersión","química","alto",6638,24555,3.6992,3412
"plátano verde","arcilloso","gravedad","química","alto",7968,23945,3.0051,4791
"banano","franco-arcilloso","aspersión","química","medio",7397,24665,3.3345,3564
"banano","franco","aspersión","química","bajo",13410,7554,0.5633,3593
"cacao","arenoso","gravedad","química","bajo",6080,1325,0.2179,5235
"cacao","arenoso","aspersión","mixta","medio",6133,1558,0.254,4145
"maíz","franco","aspersión","química","alto",6433,9461,1.4707,3458
"melón","franco-arcilloso","goteo","química","alto",5635,10299,1.8277,4093
"banano","franco","gravedad","orgánica","alto",5441,25577,4.7008,4310
"arroz","franco","goteo","mixta","bajo",12616,2023,0.1604,3620
"banano","franco-arcilloso","gravedad","mixta","alto",5910,28082,4.7516,2946
"sandía","arenoso","aspersión","orgánica","medio",6753,13130,1.9443,3184
"melón","franco","goteo","química","bajo",8878,9826,1.1068,5445
"plátano verde","franco","gravedad","química","medio",7599,23859,3.1398,4423
"plátano verde","arcilloso","goteo","química","alto",6715,23766,3.5392,3607
"arroz","franco","goteo","orgánica","medio",7582,7295,0.9621,3847
"melón","arenoso","aspersión","orgánica","bajo",5784,10992,1.9004,5330
"banano","arcilloso","gravedad","orgánica","medio",6456,26563,4.1145,3792
"plátano verde","arenoso","aspersión","química","alto",7020,18973,2.7027,3672
"melón","franco","aspersión","orgánica","medio",9028,9998,1.1074,3696
"banano","arcilloso","goteo","orgánica","medio",6821,24399,3.577,4297
"sandía","franco-arcilloso","goteo","química","medio",6633,13429,2.0246,5724
"plátano verde","arcilloso","goteo","química","medio",9522,23960,2.5163,4235
"cacao","arenoso","aspersión","orgánica","bajo",9944,1355,0.1363,4303
"arroz","arenoso","goteo","mixta","bajo",7685,8578,1.1162,4418
"arroz","arenoso","goteo","mixta","medio",7015,7452,1.0623,4304
"maíz","franco","gravedad","química","medio",7910,8723,1.1028,4908
"cacao","franco","gravedad","orgánica","alto",5268,1573,0.2986,4351
"plátano verde","franco-arcilloso","goteo","mixta","medio",6822,21559,3.1602,2948
"sandía","arcilloso","gravedad","química","alto",6015,13972,2.3229,3745
"arroz","arcilloso","gravedad","química","medio",5853,7853,1.3417,4632
"cacao","arcilloso","aspersión","mixta","alto",5320,1413,0.2656,4026
"melón","franco-arcilloso","goteo","mixta","bajo",6798,9024,1.3274,2738
"sandía","arcilloso","aspersión","mixta","medio",4900,12340,2.5184,3215
"sandía","arenoso","goteo","mixta","medio",6200,11573,1.8666,3203
"maíz","franco-arcilloso","aspersión","mixta","alto",7312,8401,1.1489,3994
"cacao","franco-arcilloso","goteo","orgánica","alto",4635,1441,0.3109,4867
"sandía","arenoso","gravedad","química","alto",4885,13202,2.7026,2877
"melón","arcilloso","gravedad","orgánica","bajo",8543,9220,1.0792,3780
"cacao","arcilloso","goteo","orgánica","alto",7833,1439,0.1837,2936
"melón","arenoso","goteo","orgánica","bajo",6117,10387,1.6981,4357
"banano","franco-arcilloso","goteo","orgánica","bajo",11661,9790,0.8396,3504
"arroz","franco","aspersión","mixta","medio",5242,8052,1.5361,4991
"arroz","arcilloso","aspersión","mixta","medio",6704,7490,1.1172,4258
"arroz","franco-arcilloso","gravedad","química","bajo",6529,9721,1.4889,3400
"arroz","franco","aspersión","orgánica","medio",4535,8623,1.9014,1962
"sandía","franco-arcilloso","gravedad","orgánica","bajo",8879,11283,1.2708,5806
"plátano verde","arenoso","aspersión","mixta","alto",10354,13544,1.3081,4324
"sandía","franco-arcilloso","aspersión","mixta","medio",7415,13092,1.7656,4198
"cacao","franco-arcilloso","aspersión","mixta","medio",5465,1262,0.2309,2692
"cacao","franco-arcilloso","aspersión","química","medio",5769,1582,0.2742,3997
"plátano verde","arenoso","gravedad","mixta","medio",6104,23747,3.8904,3666
"banano","franco-arcilloso","gravedad","química","bajo",7931,25357,3.1972,4675
"banano","arenoso","gravedad","química","alto",5225,24426,4.6748,5163
"banano","arcilloso","gravedad","mixta","alto",5940,27529,4.6345,4785
"plátano verde","franco-arcilloso","aspersión","orgánica","alto",6166,24672,4.0013,2654
"melón","franco","aspersión","mixta","alto",9381,10631,1.1332,5251
"melón","franco-arcilloso","gravedad","química","medio",7821,10601,1.3555,3851
"cacao","arcilloso","gravedad","mixta","medio",4773,1525,0.3195,2832
"arroz","arenoso","gravedad","orgánica","medio",7187,6799,0.946,4856
"cacao","arcilloso","gravedad","mixta","medio",8328,1348,0.1619,4861
"sandía","arenoso","gravedad","mixta","medio",7447,14286,1.9184,4856
"melón","franco","gravedad","orgánica","medio",8969,8150,0.9087,4111
"banano","arenoso","goteo","orgánica","alto",4655,29315,6.2975,2924
"sandía","arcilloso","gravedad","química","alto",6930,14818,2.1382,4516
"maíz","arcilloso","aspersión","mixta","medio",8787,8473,0.9643,3489
"melón","franco-arcilloso","aspersión","mixta","bajo",7981,7639,0.9571,4047
"maíz","franco","aspersión","mixta","medio",7020,9527,1.3571,4604
"banano","franco-arcilloso","gravedad","química","medio",6652,28869,4.3399,6307
"maíz","arenoso","aspersión","orgánica","medio",5534,8044,1.4536,4752
"plátano verde","arenoso","goteo","química","bajo",5559,20731,3.7293,4039
"cacao","franco-arcilloso","goteo","química","medio",5928,1692,0.2854,4080
"melón","franco","gravedad","química","medio",6523,7300,1.1191,4493
"arroz","franco","gravedad","química","medio",9155,7362,0.8042,4679
"melón","franco-arcilloso","goteo","química","alto",4957,8778,1.7708,4368
"banano","arcilloso","aspersión","orgánica","alto",8519,32160,3.7751,5343
"maíz","arcilloso","aspersión","química","medio",7270,7808,1.074,3365
"arroz","franco","gravedad","orgánica","medio",7677,8072,1.0515,4561
"melón","franco","goteo","orgánica","medio",7402,10489,1.417,3525
"maíz","arenoso","goteo","orgánica","bajo",8946,8361,0.9346,3590
"melón","arenoso","goteo","orgánica","medio",6722,9177,1.3652,3270
"arroz","arenoso","gravedad","mixta","bajo",8170,7186,0.8796,4617
"banano","franco","goteo","orgánica","medio",7208,27054,3.7533,4068
"sandía","arcilloso","aspersión","mixta","alto",6323,15361,2.4294,4140
"melón","franco-arcilloso","aspersión","química","medio",7806,10613,1.3596,2526
"cacao","arcilloso","gravedad","mixta","bajo",7212,1540,0.2135,3504
"melón","franco","gravedad","orgánica","alto",6125,10049,1.6407,3641
"plátano verde","arenoso","aspersión","mixta","bajo",6680,21875,3.2747,3663
"maíz","franco-arcilloso","goteo","química","medio",6869,9575,1.3939,2812
"arroz","franco-arcilloso","goteo","química","medio",6946,7363,1.06,5384
"arroz","franco-arcilloso","aspersión","química","bajo",5692,7618,1.3384,3473
"banano","franco","gravedad","orgánica","medio",7254,25083,3.4578,5783
"cacao","franco","aspersión","química","bajo",7110,1391,0.1956,5210
"cacao","arenoso","goteo","orgánica","medio",5394,1378,0.2555,4592
"plátano verde","franco","aspersión","química","medio",6830,20580,3.0132,4797
"banano","franco-arcilloso","aspersión","orgánica","medio",7335,25893,3.5301,4681
"melón","franco","aspersión","química","medio",8764,10191,1.1628,3950
"cacao","arcilloso","goteo","mixta","alto",6145,1691,0.2752,3210
"sandía","arenoso","aspersión","mixta","bajo",6681,12612,1.8877,4365
"cacao","arcilloso","goteo","orgánica","medio",6484,1454,0.2242,2738
"plátano verde","arenoso","aspersión","química","bajo",9210,17773,1.9298,5545
"melón","franco","aspersión","mixta","medio",6654,8808,1.3237,4648
"cacao","franco-arcilloso","aspersión","química","medio",8351,1406,0.1684,3449
"banano","franco","goteo","orgánica","medio",5411,21195,3.917,4844
"melón","arcilloso","gravedad","mixta","alto",6850,10593,1.5464,3523
"cacao","arenoso","gravedad","mixta","medio",5825,1714,0.2942,3515
"melón","franco","gravedad","orgánica","medio",7895,10283,1.3025,4541
"sandía","arcilloso","aspersión","química","alto",6445,14389,2.2326,2966
"cacao","franco","gravedad","mixta","medio",6179,1578,0.2554,3989
"melón","franco-arcilloso","gravedad","química","alto",8526,11238,1.3181,3594
"melón","franco-arcilloso","gravedad","orgánica","medio",8165,10283,1.2594,4190
"banano","arenoso","goteo","química","medio",5523,28597,5.1778,3887
"melón","arcilloso","aspersión","mixta","alto",4886,9907,2.0276,5369
"sandía","franco-arcilloso","aspersión","química","medio",5138,12941,2.5187,4349
"arroz","arenoso","aspersión","química","bajo",6025,6471,1.074,4690
"maíz","franco-arcilloso","goteo","química","medio",10358,9920,0.9577,5408
"banano","franco","goteo","orgánica","bajo",7958,23770,2.9869,3939
"banano","franco-arcilloso","gravedad","orgánica","medio",7800,23218,2.9767,4039
"cacao","arcilloso","aspersión","química","medio",8254,1438,0.1742,4950
"cacao","franco","goteo","química","alto",6026,1564,0.2595,5292
"banano","arenoso","gravedad","mixta","medio",8002,23440,2.9293,3625
"plátano verde","arcilloso","goteo","química","bajo",7673,23820,3.1044,4017
"plátano verde","franco","aspersión","mixta","medio",6234,20716,3.3231,3718
"banano","arenoso","aspersión","orgánica","medio",6618,26184,3.9565,4116
"maíz","franco","aspersión","orgánica","alto",4094,8047,1.9656,3999
"cacao","arenoso","gravedad","química","alto",9149,1608,0.1758,4149
"banano","arenoso","goteo","orgánica","medio",7662,21785,2.8433,3198
"sandía","franco","gravedad","química","medio",8705,11527,1.3242,4073
"arroz","arcilloso","aspersión","química","bajo",6908,7698,1.1144,2763
"maíz","franco","goteo","mixta","medio",6373,8562,1.3435,3591
"cacao","arcilloso","aspersión","química","medio",3230,1182,0.3659,3678
"sandía","arcilloso","gravedad","mixta","medio",6249,13263,2.1224,4446
"banano","arcilloso","aspersión","mixta","alto",7758,27483,3.5425,3766
"cacao","arcilloso","goteo","orgánica","bajo",7820,1285,0.1643,4201
"arroz","franco","aspersión","mixta","alto",5900,8404,1.4244,2822
"melón","arcilloso","aspersión","orgánica","alto",5928,12003,2.0248,3208
"cacao","franco-arcilloso","gravedad","mixta","medio",7521,1410,0.1875,4643
"maíz","arenoso","gravedad","orgánica","medio",8468,7393,0.8731,4292
"plátano verde","arenoso","aspersión","orgánica","medio",10237,22693,2.2168,3505
"banano","franco-arcilloso","aspersión","orgánica","alto",6573,29455,4.4812,2662
"arroz","arenoso","goteo","mixta","medio",7384,8287,1.1223,3668
"arroz","franco-arcilloso","aspersión","mixta","medio",7376,7285,0.9877,4058
"arroz","franco","aspersión","mixta","bajo",7084,6738,0.9512,3886
"banano","arcilloso","gravedad","mixta","medio",6114,26173,4.2808,4838
"banano","franco-arcilloso","aspersión","orgánica","medio",5725,26025,4.5459,4173
"melón","franco-arcilloso","gravedad","química","medio",4639,10762,2.3199,3835
"plátano verde","franco-arcilloso","gravedad","química","alto",5696,22441,3.9398,3859
"melón","arenoso","goteo","mixta","medio",6944,11527,1.66,3803
"banano","arenoso","goteo","mixta","medio",5692,23252,4.085,3055
"banano","arenoso","goteo","orgánica","bajo",5924,27165,4.5856,3225
"arroz","franco-arcilloso","gravedad","orgánica","bajo",8967,8357,0.932,2815
"melón","franco-arcilloso","aspersión","química","alto",6119,11169,1.8253,2425
"banano","arcilloso","aspersión","mixta","alto",8945,28337,3.1679,3350
"arroz","franco","goteo","orgánica","medio",6336,8209,1.2956,3469
"arroz","franco-arcilloso","gravedad","orgánica","medio",8262,7034,0.8514,3350
"maíz","arcilloso","goteo","química","alto",5064,10959,2.1641,4709
"arroz","franco-arcilloso","aspersión","orgánica","alto",6988,7579,1.0846,3619
"sandía","franco","gravedad","química","medio",7184,9959,1.3863,4166
"arroz","franco-arcilloso","aspersión","orgánica","alto",6792,9380,1.381,2783
"sandía","arcilloso","gravedad","química","bajo",6720,10698,1.592,4928
"sandía","arenoso","goteo","química","medio",5548,14283,2.5744,5101
"plátano verde","arcilloso","aspersión","mixta","medio",6419,25195,3.9251,4681
"melón","arenoso","gravedad","química","medio",5788,9157,1.5821,3943
"banano","franco-arcilloso","aspersión","orgánica","medio",6236,25383,4.0704,2225
"arroz","arcilloso","aspersión","mixta","alto",7790,9195,1.1804,4638
"maíz","franco","gravedad","química","bajo",10048,8446,0.8406,3379
"melón","franco-arcilloso","gravedad","química","alto",6861,10433,1.5206,3452
"melón","arenoso","goteo","orgánica","medio",5071,8397,1.6559,3643
"cacao","franco","aspersión","química","bajo",5120,1634,0.3191,2583
"plátano verde","arcilloso","goteo","mixta","alto",8054,24841,3.0843,4537
"plátano verde","arenoso","aspersión","orgánica","bajo",7958,18672,2.3463,4505
"melón","franco","goteo","química","alto",6491,11664,1.7969,4612
"maíz","arenoso","aspersión","orgánica","medio",5981,8587,1.4357,4843
"arroz","franco","gravedad","orgánica","alto",8328,9350,1.1227,2655
"cacao","arcilloso","goteo","mixta","medio",7719,1644,0.213,3995
"arroz","franco-arcilloso","aspersión","mixta","alto",6385,9252,1.449,3623
"melón","franco","aspersión","química","bajo",7798,9489,1.2169,3638
"sandía","arcilloso","gravedad","orgánica","medio",5681,13540,2.3834,4656
"banano","arcilloso","gravedad","orgánica","medio",8649,26434,3.0563,3082
"plátano verde","franco-arcilloso","aspersión","orgánica","medio",8008,19326,2.4133,4707
"banano","arcilloso","aspersión","orgánica","medio",6507,22510,3.4594,2999
"cacao","franco","aspersión","orgánica","medio",5544,1744,0.3146,4816
"plátano verde","arenoso","goteo","química","bajo",6366,18042,2.8341,3663
"maíz","franco","gravedad","química","medio",6647,8083,1.216,5334
"arroz","arenoso","goteo","química","medio",4495,8781,1.9535,5425
"banano","arcilloso","aspersión","química","alto",7487,28171,3.7627,3939
"plátano verde","franco-arcilloso","gravedad","mixta","bajo",8557,21893,2.5585,5288
"sandía","franco-arcilloso","aspersión","mixta","alto",5388,11919,2.2121,3226
"sandía","arcilloso","aspersión","orgánica","bajo",7706,10852,1.4083,3711
"plátano verde","franco","gravedad","química","alto",6689,23567,3.5232,3098
"arroz","arenoso","aspersión","química","medio",8026,8039,1.0016,4041
"sandía","arenoso","aspersión","mixta","alto",7373,15058,2.0423,1990
"arroz","franco","gravedad","mixta","medio",5183,10262,1.9799,3999
"cacao","franco-arcilloso","gravedad","química","medio",7037,1420,0.2018,5223
"sandía","franco","aspersión","química","bajo",5233,13767,2.6308,3082
"cacao","franco-arcilloso","aspersión","química","medio",9023,1378,0.1527,4215
"plátano verde","franco","gravedad","orgánica","medio",13767,10712,0.7781,4320
"plátano verde","arcilloso","gravedad","mixta","medio",7901,25635,3.2445,4816
"cacao","franco-arcilloso","aspersión","mixta","bajo",5753,1192,0.2072,4241
"sandía","arenoso","gravedad","mixta","bajo",8863,14142,1.5956,3896
"plátano verde","franco-arcilloso","gravedad","orgánica","bajo",8230,24565,2.9848,3827
"cacao","franco","aspersión","mixta","alto",6727,1692,0.2515,3964
"cacao","arcilloso","aspersión","química","bajo",8632,1467,0.1699,5130
"banano","franco-arcilloso","aspersión","orgánica","medio",8057,25393,3.1517,3900
"melón","arenoso","goteo","química","bajo",7758,10936,1.4096,3880
"plátano verde","arcilloso","goteo","orgánica","medio",6599,20339,3.0821,3669
"cacao","franco-arcilloso","aspersión","orgánica","alto",5812,1581,0.272,3384
"melón","arenoso","gravedad","química","medio",7075,9854,1.3928,3068
"melón","franco-arcilloso","goteo","mixta","bajo",7235,13228,1.8283,2831
"sandía","franco","gravedad","orgánica","medio",8368,11288,1.3489,5304
"maíz","franco-arcilloso","aspersión","orgánica","bajo",6495,7371,1.1349,3928
"banano","arcilloso","aspersión","química","bajo",7468,24520,3.2833,4242
"plátano verde","franco","goteo","química","bajo",6356,19624,3.0875,3875
"plátano verde","arenoso","goteo","orgánica","bajo",7371,17234,2.3381,4267
"arroz","arenoso","gravedad","orgánica","bajo",6589,7005,1.0631,5235
"banano","franco-arcilloso","aspersión","mixta","medio",5922,24940,4.2114,4596
"sandía","franco","gravedad","química","medio",7800,13528,1.7344,4361
"melón","franco","aspersión","orgánica","bajo",6522,8776,1.3456,3625
"arroz","arenoso","gravedad","química","bajo",5538,6436,1.1622,4282
"banano","arcilloso","gravedad","mixta","medio",5639,27506,4.8778,3795
"arroz","franco","gravedad","química","medio",8133,7856,0.9659,4105
"maíz","arenoso","goteo","mixta","alto",5392,8122,1.5063,3343
"maíz","franco-arcilloso","gravedad","química","bajo",5237,7382,1.4096,2898
"banano","franco","goteo","mixta","medio",5040,26679,5.2935,2725
"plátano verde","arenoso","gravedad","química","medio",8417,24187,2.8736,3088
"maíz","arenoso","aspersión","orgánica","medio",6127,10649,1.738,3986
"melón","franco","gravedad","orgánica","bajo",6994,8689,1.2424,2918
"plátano verde","franco","gravedad","orgánica","medio",7732,21598,2.7933,5397
"plátano verde","arcilloso","gravedad","mixta","alto",6754,23790,3.5224,4363
"plátano verde","franco-arcilloso","goteo","química","alto",7178,23443,3.266,3713
"sandía","franco-arcilloso","aspersión","química","medio",6375,13538,2.1236,4409
"melón","arcilloso","goteo","química","medio",4288,9826,2.2915,3942
"sandía","franco","goteo","orgánica","alto",7321,13988,1.9107,4331
"plátano verde","franco","gravedad","química","medio",8292,24637,2.9712,3567
"cacao","franco","aspersión","orgánica","bajo",5388,1183,0.2196,2018
"cacao","franco","gravedad","química","medio",4971,1341,0.2698,3539
"banano","franco-arcilloso","gravedad","mixta","bajo",5009,24151,4.8215,3329
"arroz","franco-arcilloso","goteo","orgánica","alto",6425,9258,1.4409,5088
"banano","franco-arcilloso","goteo","química","medio",6236,22494,3.6071,3421
"plátano verde","arenoso","gravedad","mixta","alto",8118,21129,2.6027,2449
"banano","arcilloso","aspersión","química","medio",18526,9810,0.5295,2746
"banano","franco","aspersión","orgánica","medio",5937,27764,4.6764,5683
"plátano verde","franco","aspersión","mixta","bajo",7892,23871,3.0247,4913
"sandía","franco-arcilloso","goteo","orgánica","alto",5212,10855,2.0827,3322
"banano","arenoso","goteo","orgánica","bajo",7011,21792,3.1083,3017
"cacao","franco-arcilloso","gravedad","mixta","medio",5106,1720,0.3369,5786
"sandía","arcilloso","goteo","orgánica","medio",6734,12085,1.7946,5238
"sandía","arenoso","aspersión","química","alto",7637,11714,1.5338,4827
"cacao","franco","goteo","química","medio",6895,1530,0.2219,2670
"arroz","franco","gravedad","mixta","alto",7023,9132,1.3003,2949
"banano","franco-arcilloso","gravedad","mixta","bajo",7881,25846,3.2795,4520
"plátano verde","arenoso","goteo","química","medio",6470,25715,3.9745,4048
"banano","arenoso","aspersión","química","medio",7877,22477,2.8535,3391
"sandía","arenoso","gravedad","mixta","bajo",8220,12045,1.4653,2746
"arroz","arcilloso","gravedad","orgánica","alto",7598,8999,1.1844,2764
"maíz","franco-arcilloso","goteo","orgánica","medio",7764,8420,1.0845,3021
"maíz","franco-arcilloso","gravedad","química","medio",7544,8241,1.0924,3976
"maíz","arenoso","goteo","orgánica","medio",4941,8887,1.7986,3525
"plátano verde","franco-arcilloso","gravedad","mixta","medio",7041,19187,2.725,4178
"banano","franco","goteo","orgánica","alto",5342,23552,4.4088,3246
"banano","franco","gravedad","química","bajo",8446,22458,2.659,3200
"arroz","franco-arcilloso","aspersión","orgánica","medio",6300,7829,1.2427,3388
"cacao","franco","aspersión","mixta","bajo",6513,1500,0.2303,3793
"arroz","franco","gravedad","mixta","medio",14642,2850,0.1946,3693
"maíz","franco-arcilloso","aspersión","orgánica","alto",8087,10292,1.2727,4248
"sandía","franco","goteo","mixta","medio",7873,12441,1.5802,3433
"cacao","franco","gravedad","mixta","alto",6330,1538,0.243,5173
"plátano verde","arenoso","gravedad","química","medio",7562,24192,3.1992,4677
"maíz","franco-arcilloso","aspersión","mixta","alto",8087,10111,1.2503,2989
"plátano verde","arenoso","goteo","orgánica","medio",5174,21797,4.2128,3642
"cacao","arenoso","gravedad","mixta","medio",7473,1315,0.176,4263
"arroz","franco","goteo","mixta","medio",7368,10122,1.3738,4663
"sandía","arenoso","gravedad","química","bajo",9112,10659,1.1698,3615
"maíz","arenoso","gravedad","mixta","alto",6821,10300,1.51,3217
"melón","arcilloso","aspersión","orgánica","alto",6065,10300,1.6983,3220
"sandía","franco-arcilloso","gravedad","orgánica","bajo",6304,10944,1.736,3883
"sandía","arenoso","aspersión","mixta","medio",7284,11483,1.5765,2872
"banano","arcilloso","goteo","orgánica","alto",6407,24994,3.901,4846
"banano","franco","gravedad","orgánica","bajo",8401,18811,2.2391,3073
"arroz","franco","goteo","orgánica","bajo",6725,6953,1.0339,3428
"plátano verde","franco-arcilloso","gravedad","orgánica","bajo",16868,10273,0.609,3154
"maíz","arcilloso","gravedad","orgánica","medio",6405,9422,1.471,3304
"cacao","arcilloso","gravedad","orgánica","medio",6415,1489,0.2321,4562
"sandía","franco-arcilloso","goteo","mixta","alto",5257,12983,2.4697,4817
"plátano verde","arcilloso","goteo","orgánica","bajo",5734,21821,3.8055,4001
"melón","arenoso","gravedad","orgánica","medio",7943,9381,1.181,2504
"plátano verde","franco-arcilloso","gravedad","mixta","medio",5101,22487,4.4084,3325
"arroz","arenoso","aspersión","mixta","bajo",10592,8153,0.7697,4127
"melón","arcilloso","goteo","química","alto",5614,9378,1.6705,4496
"banano","franco","gravedad","mixta","alto",4716,24650,5.2269,3764
"sandía","arenoso","aspersión","química","medio",6617,11114,1.6796,5109
"maíz","franco","goteo","mixta","bajo",5008,8865,1.7702,2664
"melón","arenoso","goteo","orgánica","medio",8155,9472,1.1615,4351
"melón","arcilloso","goteo","orgánica","medio",6092,9328,1.5312,3545
"sandía","arenoso","gravedad","química","bajo",8048,10296,1.2793,3020
"cacao","franco-arcilloso","aspersión","química","alto",3943,1709,0.4334,4055
"melón","franco-arcilloso","goteo","mixta","medio",7581,11579,1.5274,3279
"sandía","franco","goteo","orgánica","alto",6234,11829,1.8975,3244
"cacao","arcilloso","aspersión","orgánica","bajo",6997,1479,0.2114,6137
"banano","arenoso","aspersión","orgánica","bajo",6533,22952,3.5132,4378
"arroz","franco","aspersión","química","bajo",9683,6694,0.6913,2031
"cacao","arenoso","aspersión","mixta","medio",6218,1716,0.276,4770
"banano","franco","goteo","química","medio",8044,20058,2.4935,3239
"plátano verde","franco","gravedad","orgánica","alto",7753,23914,3.0845,2764
"plátano verde","arcilloso","goteo","orgánica","alto",4490,23289,5.1869,3607
"sandía","arenoso","goteo","orgánica","bajo",3525,11503,3.2633,4522
"sandía","franco-arcilloso","goteo","química","medio",4375,13492,3.0839,3207
"banano","arenoso","goteo","orgánica","bajo",7837,24499,3.1261,5026
"maíz","arenoso","gravedad","química","medio",8324,8898,1.069,4622
"arroz","franco","goteo","química","bajo",8933,6459,0.723,3844
"maíz","franco-arcilloso","gravedad","química","bajo",6955,9444,1.3579,4035
"maíz","arenoso","gravedad","orgánica","medio",5511,9234,1.6756,2663
"melón","arenoso","gravedad","orgánica","medio",5662,9420,1.6637,3742
"banano","arcilloso","aspersión","mixta","alto",5837,27165,4.6539,4815
"banano","arcilloso","gravedad","química","medio",6657,24900,3.7404,3736
"melón","arenoso","gravedad","mixta","medio",8002,9737,1.2168,4520
"plátano verde","franco-arcilloso","gravedad","mixta","medio",7693,24494,3.1839,5051
"banano","franco","aspersión","mixta","bajo",7388,23278,3.1508,3753
"plátano verde","arcilloso","goteo","mixta","medio",5436,22950,4.2219,2704
"melón","arenoso","aspersión","química","alto",6715,8781,1.3077,3211
"arroz","franco","gravedad","mixta","medio",6146,8959,1.4577,4109
"sandía","franco-arcilloso","gravedad","orgánica","medio",4353,12509,2.8737,4610
"sandía","franco-arcilloso","goteo","química","bajo",6829,10959,1.6048,4283
"plátano verde","arcilloso","goteo","mixta","alto",6337,20999,3.3137,5449
"plátano verde","arcilloso","aspersión","mixta","alto",7669,22768,2.9688,5274
"plátano verde","arenoso","gravedad","orgánica","medio",8143,22745,2.7932,3742
"maíz","franco-arcilloso","gravedad","orgánica","medio",5358,8970,1.6741,3639
"banano","franco-arcilloso","aspersión","orgánica","bajo",6060,27498,4.5376,4737
"melón","franco","goteo","mixta","bajo",8499,9313,1.0958,3878
"maíz","arenoso","goteo","orgánica","medio",5623,7887,1.4026,4446
"maíz","arenoso","gravedad","química","alto",7204,10932,1.5175,5044
"sandía","arenoso","gravedad","orgánica","bajo",7523,12034,1.5996,3144
"cacao","franco","aspersión","química","medio",4841,1601,0.3307,4341
"plátano verde","arcilloso","gravedad","orgánica","medio",5522,21519,3.897,3185
"cacao","arcilloso","aspersión","orgánica","alto",6931,1494,0.2156,4285
"plátano verde","arenoso","aspersión","mixta","alto",8225,25249,3.0698,4021
"plátano verde","arcilloso","goteo","orgánica","medio",7917,22555,2.8489,4930
"cacao","franco","goteo","orgánica","bajo",5185,1355,0.2613,3610
"melón","arcilloso","aspersión","química","bajo",7912,9609,1.2145,4177
"arroz","arenoso","goteo","mixta","medio",10881,3758,0.3454,4283
"melón","franco","aspersión","mixta","bajo",6897,9394,1.362,4624
"sandía","arcilloso","aspersión","mixta","medio",9025,11801,1.3076,3592
"melón","franco-arcilloso","gravedad","mixta","medio",7423,10090,1.3593,2859
"sandía","arcilloso","goteo","química","bajo",5248,10915,2.0798,3679
"cacao","arenoso","gravedad","mixta","alto",5066,1692,0.334,3001
"arroz","arenoso","goteo","química","bajo",7902,7487,0.9475,3990
"sandía","arcilloso","gravedad","orgánica","medio",7666,12477,1.6276,3391
"sandía","arcilloso","aspersión","orgánica","medio",6155,13033,2.1175,4107
"melón","arcilloso","aspersión","orgánica","medio",7256,11094,1.5289,2516
"arroz","arcilloso","goteo","mixta","medio",12351,4293,0.3476,4764
"maíz","franco","gravedad","química","medio",8621,10437,1.2106,3351
"arroz","franco-arcilloso","gravedad","química","bajo",7555,7157,0.9473,3874
"arroz","franco","gravedad","mixta","medio",6666,9455,1.4184,3296
"melón","arenoso","aspersión","orgánica","alto",6770,10665,1.5753,4092
"sandía","arenoso","goteo","química","bajo",7333,12311,1.6788,3740
"melón","franco","aspersión","orgánica","bajo",5541,9136,1.6488,3639
"arroz","franco","aspersión","química","medio",6589,7629,1.1578,3018
"banano","franco","goteo","mixta","bajo",4560,24253,5.3186,5361
"banano","franco","aspersión","química","medio",6636,25332,3.8174,4956
"maíz","arenoso","goteo","mixta","medio",6719,8958,1.3332,4921
"banano","arcilloso","goteo","mixta","bajo",6327,20256,3.2015,3959
"melón","arcilloso","goteo","mixta","alto",6613,10609,1.6043,4456
"cacao","franco","goteo","química","alto",6894,1667,0.2418,2293
"maíz","franco","gravedad","orgánica","medio",7428,9125,1.2285,3323
"plátano verde","arcilloso","aspersión","mixta","medio",6790,18014,2.653,2506
"melón","arenoso","aspersión","mixta","medio",6376,10777,1.6902,4101
